"Mississippi Offenders Supervised in Other States","","","","","",""
"","Jul","Aug","Sept","Oct","Nov","Dec"
"Parolees","237","236","243","252","258","261"
"Probationers","951","951","962","982","1,015","1,023"
"TOTAL","1,188","1,187","1,205","1,234","1,273","1,284"
