"COUNTY","Jun-06","Jun-05","Jun-04","Jun-03","Jun-02","Jun-01"
"Adams","2","4","1","1","0","5"
"Alcorn","5","5","8","5","11","12"
"Amite","1","1","0","2","0","7"
"Attala","0","2","1","3","4","3"
"Benton","0","0","0","0","0","1"
"Bolivar","1","5","8","7","8","10"
"Calhoun","0","4","0","3","13","6"
"Carroll","2","3","5","2","4","5"
"Chickasaw","3","3","6","6","5","5"
"Choctaw","0","1","2","1","0","2"
"Claiborne","2","0","0","1","6","2"
"Clarke","0","1","0","0","1","2"
"Clay","13","8","6","5","1","4"
"Coahoma","0","1","3","3","14","5"
"Copiah","3","4","4","11","5","11"
"Covington","0","2","3","1","2","2"
"DeSoto","4","5","9","17","14","13"
"Forrest","5","9","6","12","9","22"
"Franklin","0","2","0","1","0","0"
"George","1","3","7","10","2","2"
"Greene","1","0","0","0","0","2"
"Grenada","2","2","3","1","2","8"
"Hancock","4","7","1","2","7","8"
"Harrison","1","23","29","28","27","56"
"Hinds","9","16","11","21","16","30"
"Holmes","0","2","2","3","3","5"
"Humphreys","0","1","0","1","4","4"
"Issaquena","0","1","0","1","1","0"
"Itawamba","0","2","1","1","0","3"
"Jackson","4","7","14","11","7","14"
"Jasper","2","0","0","1","0","0"
"Jefferson","0","1","0","1","3","4"
"Jeff Davis","0","0","1","0","0","0"
"Jones","2","8","10","11","8","10"
"Kemper","0","0","0","1","2","3"
"Lafayette","3","5","6","4","10","8"
"Lamar","1","6","4","0","2","2"
"Lauderdale","5","13","22","11","20","33"
"Lawrence","0","2","0","0","0","0"
"Leake","2","9","5","6","10","0"
"Lee","10","18","7","13","10","23"
"Leflore","1","3","5","4","5","6"
"Lincoln","3","2","3","6","4","12"
"Lowndes","10","15","17","12","14","20"
"Madison","1","8","7","6","2","2"
"Marion","1","10","7","5","6","1"
"Marshall","1","4","1","3","6","12"
"Monroe","11","11","8","9","4","10"
"Montgomery","1","2","0","5","3","5"
"Neshoba","8","8","17","10","9","0"
"Newton","2","7","8","5","5","5"
"Noxubee","0","3","0","0","3","1"
"Oktibbeha","9","7","15","2","5","6"
"Panola","3","4","11","15","7","17"
"Pearl River","1","7","5","8","9","7"
"Perry","0","0","0","0","0","0"
"Pike","2","7","9","3","1","10"
"Pontotoc","12","8","7","7","9","9"
"Prentiss","1","4","3","7","7","7"
"Quitman","0","1","1","0","1","5"
"Rankin","12","15","27","21","19","24"
"Scott","1","10","9","5","4","4"
"Sharkey","0","1","0","2","1","1"
"Simpson","0","3","1","6","5","3"
"Smith","2","3","3","1","1","2"
"Stone","0","3","0","1","3","2"
"Sunflower","3","8","2","2","3","8"
"Tallahatchie","3","2","2","1","3","6"
"Tate","0","1","1","7","2","4"
"Tippah","0","3","3","3","2","4"
"Tishomingo","0","1","3","0","1","0"
"Tunica","0","0","0","0","0","4"
"Union","5","6","6","4","6","8"
"Walthall","0","1","1","1","0","4"
"Warren","7","11","10","10","5","14"
"Washington","2","8","4","8","6","15"
"Wayne","0","3","6","6","5","11"
"Webster","7","3","9","2","3","3"
"Wilkinson","0","0","0","1","1","0"
"Winston","2","5","2","0","1","7"
"Yalobusha","0","3","7","3","2","4"
"Yazoo","3","3","4","2","5","10"
"TOTALS","202","390","409","401","409","605"
