"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I","","","",""
"83 Field Officers","","","",""
"Total Caseload","5,714","711","709","571"
"","","","",""
"REGION II","","","",""
"66 Field Officers","","","",""
"Total Caseload","4,679","499","390","257"
"","","","",""
"REGION III","","","",""
"92 Field Officers","","","",""
"Total Caseload","6,569","937","733","516"
