"URINALYSIS SCREENING","","",""
"","Number 
Run","Number 
Positive","Positive 
Percent"
"ISP Court Sentenced & Prison Release","13,389","2,735","20.43%"
"Regular Caseload","18,459","7,569","41.00%"
"CWC & Restitution Center Inmates","5,811","600","10.33%"
"Restitution Center Residents","2,099","289","13.77%"
"TOTAL","39,758","11,193","28.15%"
