"Other State Offenders Supervised in Mississippi","","","","","",""
"Jan","Feb 
Mar","","Apr","May","Jun","Avg."
"409","403 
393","","347","310","298","399"
"1,157","1,126 
1,062","","946","844","753","1,103"
"1,566","1,529 
1,455","","1,293","1,154","1,051","1,501"
