"MALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","40","30","0","2","72",".33%"
"1-2 Years","1,086","707","10","13","1,816","8.24%"
"3-5 Years","3,604","2,017","34","17","5,672","25.73%"
"6-10 Years","4,496","1,710","38","19","6,263","28.41%"
"11-20 Years","2,688","848","27","7","3,570","16.20%"
"21-0 Years","727","207","8","2","944","4.28%"
"Greater Than 30 Years","518","124","2","1","645","2.93%"
"Life","1,280","468","3","4","1,755","7.96%"
"Death","36","32","0","1","69",".31%"
"Verification Pending","766","455","6","9","1,236","5.61%"
"TOTAL","15,241","6,598","128","75","22,042","100.00%"
