"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","3","0.18%"
"72","16","0","0","1,244","75.58%"
"0","0","0","0","3","0.18%"
"4","3","0","0","97","5.89%"
"2","2","0","0","16","0.97%"
"0","0","0","0","3","0.18%"
"0","0","0","0","2","0.12%"
"1","2","0","0","12","0.73%"
"0","0","0","0","4","0.24%"
"0","1","0","0","59","3.58%"
"0","0","0","0","1","0.06%"
"5","4","0","0","93","5.65%"
"1","0","0","0","5","0.30%"
"1","0","0","0","32","1.94%"
"89","32","1","0","1,646","100.00%"
