"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","1","40-49","5,112"
"15","1","50-59","1,659"
"16","17","60-69","332"
"17","45","70-79","75"
"18-19","519","80+","8"
"20-29","9,500","Verification Pending","12"
"30-39","7,070","TOTAL","24,351"
