"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1","0.03%"
"0","0","0","0","1","0.03%"
"1","0","0","0","3","0.08%"
"89","43","1","2","1,319","35.19%"
"1","1","0","0","8","0.21%"
"1","0","0","0","4","0.11%"
"0","1","0","0","15","0.40%"
"7","8","2","1","310","8.27%"
"0","59","0","0","378","10.09%"
"0","1","0","0","8","0.21%"
"5","10","0","1","166","4.43%"
"7","3","0","0","127","3.39%"
"5","5","0","0","125","3.34%"
"0","18","0","0","132","3.52%"
"21","99","2","0","1,003","26.76%"
"0","21","0","0","142","3.79%"
"0","1","0","0","6","0.16%"
"137","270","5","4","3,748","100.00%"
