"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC  OTHER",""
"Capital Rape","18","12","0","0"
"Child Molestation","44","114","1","0"
"Exploitation/Child","2","18","0","0"
"Failure to Register - Sexual Offender","9","7","0","0"
"Fondling","9","9","0","0"
"Fondling a Child","36","45","4","0"
"Gratification - Lust","12","25","1","0"
"Incest Minor","0","1","0","0"
"Peeping Tom","7","8","0","0"
"Prostitution","1","0","0","0"
"Rape","351","97","1","0"
"Rape with Weapon","1","0","0","0"
"Sex Assault","95","73","0","1"
"Sex Assault - Sodomy Man","1","0","0","0"
"Sex Offense","12","8","0","1"
"Sexual Battery","225","259","2","3"
"Statutory Rape","132","61","1","2"
"Unlawful Touching a Child","16","28","2","0"
"TOTAL","971","765","12","7"
