"MALES - PERCENTAGE","",""
"CLASS","MALE","PERCENT"
"A","3",".01%"
"B","16",".07%"
"C","1,527","6.93%"
"D","675","3.06%"
"DR","69",".31%"
"MOA","2,916","13.23%"
"MOB","5,669","25.71%"
"MORA","4,488","20.36%"
"MORB","4,285","19.44%"
"Unclassified","2,398","10.88%"
"TOTAL","22,046","100.00%"
