"MALES","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC  OTHER",""
"BURGLARY","2,121","1,158","10","11"
"HOMICIDE/MANSLAUGHTER","1,618","591","9","8"
"POSSESSION OF DRUGS","1,892","1,367","56","17"
"SALE OF DRUGS","3,296","473","9","3"
"ROBBERY","2,235","364","8","6"
"SEX OFFENSES","971","765","12","7"
"VIOLENT","1,164","342","8","10"
"PROPERTY","1,941","1,536","16","19"
"VERIFICATION PENDING","3","3","0","0"
"TOTAL","15,241","6,599","128","81"
