"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"2","3","0","0","12","0.73%"
"1","1","0","0","35","2.13%"
"0","0","1","0","24","1.46%"
"0","0","0","0","1","0.06%"
