"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,985","60.87%","3,552","46.69%","19,537","57.68%"
"White","9,889","37.66%","3,938","51.77%","13,827","40.82%"
"Hispanic","202","0.77%","54",".71%","256",".76%"
"Native American","24",".09%","10",".13%","34",".10%"
"Asian","81",".31%","20",".26%","101",".30%"
"Data Unavailable","81",".31%","33",".43%","114",".34%"
"TOTAL","26,262","100.00%","7,607","100.00%","33,869","100.00%"
