"TOTAL","","34,105","100.00%","","",""
"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,755","58.94%","2,277","41.70%","13,032","54.97%"
"White","7,220","39.57%","3,093","56.64%","10,313","43.50%"
"Hispanic","158","0.87%","40",".73%","198",".84%"
"Native American","14",".08%","17",".31%","31",".13%"
"Asian","61",".33%","14",".26%","75",".32%"
"Data Unavailable","40",".22%","20",".37%","60",".25%"
"TOTAL","18,248","100.00%","5,461","100.00%","23,709","100.00%"
