"County","Offenders"
"Adams","13"
"Alcorn","16"
"Amite","2"
"Attala","6"
"Benton","7"
"Bolivar","12"
"Calhoun","2"
"Carroll","0"
"Chickasaw","15"
"Choctaw","2"
"Claiborn","0"
"Clarke","1"
"Clay","13"
"Coahoma","4"
"Copiah","7"
"Covington","4"
"Desoto","36"
"Forrest","32"
"Franklin","1"
"George","9"
"Greene","1"
"Grenada","5"
"Hancock","21"
"Harrison","111"
"Hinds","37"
"Holmes","1"
"Humphreys","0"
"Issaquena","0"
"Itawamba","3"
"Jackson","52"
"Jasper","5"
"Jefferson Davis","5"
"Jefferson","1"
"Jones","21"
"Kemper","1"
"Lafayette","20"
"Lamar","18"
"Lauderdale","9"
"Lawrence","12"
"Leake","5"
"Lee","45"
"Leflore","18"
"Lincoln","26"
"Lowndes","20"
"Madison","26"
"Marion","26"
"Marshall","26"
"Monroe","8"
"Montgomery","2"
"Neshoba","5"
"Newton","0"
"Noxubee","2"
"Oktibbeha","16"
"Panola","9"
"Pearl","45"
"Perry","3"
"Pike","41"
"Pontotoc","11"
"Prentiss","7"
"Quitman","2"
"Rankin","28"
"Scott","2"
"Sharkey","2"
"Simpson","7"
"Smith","5"
"Stone","6"
"Sunflower","17"
"Tallahatchie","1"
"Tate","8"
"Tippah","5"
"Tishomingo","17"
"Tunica","4"
"Union","11"
"Walthall","9"
"Warren","13"
"Washington","25"
"Wayne","2"
"Webster","2"
"Wilkinson","3"
"Winston","6"
"Yalobusha","1"
"Yazoo","6"
"TOTAL","1,028"
