"County","Offenders"
"Adams","7"
"Alcorn","6"
"Amite","2"
"Attala","5"
"Benton","2"
"Bolivar","4"
"Calhoun","2"
"Carroll","2"
"Chickasaw","3"
"Choctaw","2"
"Claiborn","0"
"Clarke","0"
"Clay","6"
"Coahoma","6"
"Copiah","3"
"Covington","4"
"Desoto","29"
"Forrest","20"
"Franklin","1"
"George","1"
"Greene","1"
"Grenada","4"
"Hancock","4"
"Harrison","37"
"Hinds","56"
"Holmes","1"
"Humphreys","3"
"Issaquena","0"
"Itawamba","7"
"Jackson","13"
"Jasper","2"
"Jefferson Davis","1"
"Jefferson","0"
"Jones","4"
"Kemper","0"
"Lafayette","4"
"Lamar","6"
"Lauderdale","15"
"Lawrence","4"
"Leake","9"
"Lee","9"
"Leflore","2"
"Lincoln","12"
"Lowndes","19"
"Madison","30"
"Marion","10"
"Marshall","12"
"Monroe","7"
"Montgomery","5"
"Neshoba","7"
"Newton","7"
"Noxubee","5"
"Oktibbeha","15"
"Panola","10"
"Pearl","7"
"Perry","4"
"Pike","10"
"Pontotoc","2"
"Prentiss","2"
"Quitman","1"
"Rankin","34"
"Scott","9"
"Sharkey","3"
"Simpson","2"
"Smith","1"
"Stone","3"
"Sunflower","4"
"Tallahatchie","3"
"Tate","8"
"Tippah","1"
"Tishomingo","2"
"Tunica","1"
"Union","5"
"Walthall","2"
"Warren","8"
"Washington","4"
"Wayne","1"
"Webster","2"
"Wilkinson","0"
"Winston","6"
"Yalobusha","0"
"Yazoo","3"
"TOTAL","554"
