"Month","Parolees","Probationers","Total"
"JUL","499","1,942","2,441"
"AUG","500","1,974","2,474"
"SEP","507","1,984","2,491"
"OCT","510","2,000","2,510"
"NOV","518","2,007","2,525"
"DEC","509","2,026","2,535"
"JAN","517","1,723","2,240"
"FEB","519","2,005","2,524"
"MAR","521","2,012","2,533"
"APR","516","2,028","2,544"
"MAY","515","2,036","2,551"
"JUN","521","2,043","2,564"
"TOTAL","6,152","23,780","29,932"
