"Month","Parolees","Probationers","Total"
"JUL","577","1,820","2,397"
"AUG","571","1,808","2,379"
"SEP","578","1,782","2,360"
"OCT","578","1,750","2,328"
"NOV","577","1,742","2,319"
"DEC","589","1,743","2,332"
"JAN","593","1,733","2,326"
"FEB","591","1,723","2,314"
"MAR","575","1,698","2,273"
"APR","576","1,707","2,283"
"MAY","582","1,713","2,295"
"JUN","580","1,717","2,297"
"TOTAL","6,967","20,936","27,903"
