"","Region I","Region II","Region III","TOTAL"
"Pre-Sentence Investigations","1,278","458","520","2,256"
"Post-Sentence Investigations","2,124","2,685","3,906","8,715"
"Pre-Release Investigations","1,035","580","1,305","2,920"
"Compact Investigations","530","640","695","1,865"
"Restoration of Rights Investigations","14","0","0","14"
"Residence & Employment Investigations","3,072","4,219","3,987","11,278"
"Total","8,053","8,582","10,413","27,048"
