"OFFENSE 
AVERAGE SENTENCE LENGTH IN YEARS","",""
"Child Molestation","4.25",""
"Child Pornography","7.50",""
"Entice Child for Indecent Purposes","2.00",""
"Exploitation of Child","9.31",""
"Failure to Register as a Sex Offender","2.64",""
"Fondling","6.72",""
"Fondling a Child","4.57",""
"Forcible Sexual Intercourse","30.00",""
"Gratification of Lust","4.84",""
"Peeping Tom","2.00",""
"Rape","22.47",""
"Sexual Offense","1.00",""
"Sexual Battery","12.10",""
"Statutory Rape","8.61",""
"Unlawful Touching of Child","8.31",""
"Violation of Sex Offender Registry","1.00",""
