"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","19","0","19","24.36"
"Homicide/Manslaughter","5","0","5","6.41"
"Property","11","0","11","14.10"
"Possession of Drugs","3","0","3","3.85"
"Robbery","17","0","17","21.79"
"Sale of Drugs","2","0","2","2.56"
"Sex Offense","9","0","9","11.54"
"Violent","11","1","12","15.38"
"TOTAL","77","1","78","100.00"
