"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","111","4.78","Lincoln","108","4.65"
"","Amite","29","1.25","Madison","294","12.65"
"","Claiborne","26","1.12","Pike","281","12.09"
"","Copiah","97","4.17","Rankin","387","16.65"
"Central","","","","","",""
"","Franklin","21",".90","Sharkey","14",".60"
"Counties","","","","","",""
"","Hinds","543","23.36","Walthall","64","2.75"
"","Holmes","56","2.41","Warren","145","6.24"
"","Humphreys","34","1.46","Wilkinson","21",".90"
"","Issaquena","2",".09","Yazoo","68","2.93"
"","Jefferson","23",".99","TOTAL","2,324","23.06"
