"OFFENSE 
AVERAGE SENTENCE LENGTH IN YEARS","",""
"Capital Rape","8.00",""
"Child Molestation","7.08",""
"Child Pornography","1.00",""
"Computer Luring of Child for Sexual Conduct","3.00",""
"Entice Child for Indecent Purpose","5.50",""
"Exploitation of Child","4.86",""
"Failure to Register as Sex Offender","1.55",""
"Fondling","5.50",""
"Fondling a Child","7.36",""
"Gratification of Lust","4.06",""
"Peeping Tom","2.75",""
"Rape","32.16",""
"Rape with a Weapon","12.00",""
"Sex Assault","7.00",""
"Sex Offense","10.00",""
"Sexual Battery","7.25",""
"Statutory Rape","4.07",""
"Unlawful Touching of Child","4.95",""
"Violation of Sex Offender Registry Law","1.00",""
