"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Possession of Drugs","1,209","620","32","5","1,866"
"Sale of Drugs","811","132","9","2","954"
"TOTAL","2,020","752","41","7","2,820"
