"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","53","4","57","6.01"
"Homicide/Manslaughter","52","2","54","5.70"
"Property","236","51","287","30.27"
"Possession of Drugs","197","32","229","24.16"
"Robbery","16","0","16","1.69"
"Sale of Drugs","175","39","214","22.57"
"Sex Offense","52","0","52","5.49"
"Violent","36","3","39","4.11"
"TOTAL","817","131","948","100.00"
