"MALE","BLACK","","WHITE   HISPANIC  OTHER  UNKNOWN","","","TOTAL"
"A","4,536","2,389","43","17","0","6,985"
"B","7,721","3,129","112","38","3","11,003"
"C","2,250","381","13","1","0","2,645"
"DR","31","25","0","1","0","57"
"*Unclassified","919","658","22","6","5","1,610"
"TOTAL","15,457","6,582","190","63","8","22,300"
"PERCENT","69.31","29.52",".85",".28",".04","100.00"
