"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","34","2","36","5.81"
"Homicide/Manslaughter","21","1","22","3.55"
"Property","197","42","239","38.55"
"Possession of Drugs","128","13","141","22.74"
"Robbery","8","0","8","1.29"
"Sale of Drugs","68","15","83","13.39"
"Sex Offense","46","0","46","7.42"
"Violent","42","3","45","7.26"
"TOTAL","544","76","620","100.00"
