"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Possession of Drugs","1,374","820","30","5","2,229"
"Sale of Drugs","1,304","238","2","1","1,545"
"TOTAL","2,678","1,058","32","6","3,774"
