"AGE","MALE","FEMALE","","TOTAL","PERCENT"
"14","0","0","","0",".00"
"15","0","0","","0",".00"
"16","1","0","","1",".03"
"17","4","0","","4",".12"
"18 - 19","94","4","","98","3.04"
"20 - 29","1,247","130","","1,377","42.67"
"30 - 39","880","139","","1,019","31.58"
"40 - 49","398","106","","504","15.62"
"50 - 59","172","27","","199","6.17"
"60 - 69","23","1","","24",".74"
"70 - 79","1","0","","1",".03"
"80+","0","0","","0",".00"
