"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"*Y","1","0","0","0","1"
"*0","1","0","0","0","1"
"1","590","582","8","1","1,181"
"2","220","219","3","1","443"
"3","105","119","2","1","227"
"4","13","15","0","0","28"
"5","8","2","0","0","10"
"Verification Pending","173","204","1","3","381"
"TOTAL","1,111","1,141","14","6","2,272"
