"FEMALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"A","497","581","6","2","0","1,086"
"B","414","306","6","2","0","728"
"C","20","4","0","0","0","24"
"DR","0","3","0","0","0","3"
"*Unclassified","180","247","2","2","0","431"
"TOTAL","1,111","1,141","14","6","0","2,272"
"PERCENT","48.90","50.22",".62",".26",".00","100.00"
