"MALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"*Y","1","0","0","0","0","1"
"*0","3","1","0","0","0","4"
"1","11,540","4,357","148","43","3","16,091"
"2","2,056","1,043","22","11","0","3,132"
"3","1,076","564","9","3","0","1,652"
"4","170","131","1","1","0","303"
"5","52","35","0","0","0","87"
"Verification Pending","559","451","10","5","5","1,030"
"TOTAL","15,457","6,582","190","63","8","22,300"
