"COUNTY","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04"
"Warren","4","6","6","18","18","12"
"Washington","39","46","32","61","66","70"
"Wayne","2","3","5","1","5","2"
"Webster","3","7","10","9","17","21"
"Wilkinson","2","3","3","0","1","0"
"Winston","4","2","1","2","2","1"
"Yalobusha","4","0","1","4","8","5"
"Yazoo","16","8","26","24","49","36"
"TOTALS","1,247","1,182","1,085","1,243","1,367","1,326"
