"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","5","3.70","Lincoln","8","5.93"
"","Amite","1",".74","Madison","20","14.81"
"","Claiborne","5","3.70","Pike","19","14.07"
"","Copiah","3","2.22","Rankin","30","22.22"
"Central","","","","","",""
"","Franklin","1",".74","Sharkey","0",".00"
"Counties","","","","","",""
"","Hinds","21","15.56","Walthall","9","6.67"
"","Holmes","4","2.96","Warren","4","2.96"
"","Humphreys","1",".74","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","2","1.48"
"","Jefferson","2","1.48","TOTAL","135","21.77"
