"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","445","316","6","5","772","8.88"
"1 - 2 Years","1,117","610","16","10","1,753","20.15"
"3 - 5 Years","2,128","1,145","23","7","3,303","37.97"
"6 - 10 Years","1,302","648","20","4","1,974","22.69"
"11 - 20 Years","553","143","4","0","700","8.05"
"21 -30 Years","37","11","0","0","48",".55"
"Greater Than 30 Years","30","6","0","0","36",".41"
"Life","67","27","1","0","95","1.09"
"Death","0","1","0","0","1",".01"
"Verification Pending","12","4","0","0","16",".18"
"TOTAL","5,691","2,911","70","26","8,698","100.00"
