"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Gratification/Lust","19","0","","19","4.44"
"Peeping Tom","5","0","","5","1.17"
"Rape","16","0","","16","3.74"
"Sex Offense","1","0","","1",".23"
"Sexual Battery","127","3","","133","31.07"
"Statutory Rape","89","0","","89","20.79"
"Unlawful Touching of Child","38","1","","40","9.35"
"Violation of Sex Offender Registry","1","0","","1",".23"
