"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"3,774 
  
599 
  
4,373","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","1,058","310","","1,368","31.28"
"Black","2,678","287","","2,965","67.80"
"Hispanic","32","1","","33",".75"
"Other","5","1","","6",".14"
"Verification Pending","1","0","","1",".02"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"17","0","0","","0",".00"
"18 - 19","42","1","","43",".98"
"20 - 29","1,420","151","","1,571","35.92"
"30 - 39","1,242","200","","1,442","32.98"
"40 - 49","698","176","","874","19.99"
"50 - 59","312","62","","374","8.55"
"60 - 69","57","8","","65","1.49"
"70 - 79","3","1","","4",".09"
"80+","0","0","","0",".00"
