"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","43","1.02","Lawrence","28",".66"
"","Clay","126","2.99","Leake","74","1.76"
"","Covington","28",".66","Lowndes","436","10.35"
"","Forrest","311","7.39","Marion","115","2.73"
"","George","68","1.61","Neshoba","111","2.64"
"","Greene","33",".78","Newton","43","1.02"
"","Hancock","77","1.83","Noxubee","29",".69"
"Southern","","","","","",""
"","Harrison","898","21.33","Oktibbeha","205","4.87"
"Counties","","","","","",""
"","Jackson","402","9.55","Pearl River","131","3.11"
"","Jasper","32",".76","Perry","31",".74"
"","Jeff Davis","19",".45","Scott","102","2.42"
"","Jones","180","4.27","Simpson","47","1.12"
"","Kemper","19",".45","Smith","22",".52"
"","Lamar","110","2.61","Stone","44","1.04"
"","Lauderdale","374","8.88","Wayne","73","1.73"
"","","","","TOTAL","4,211","41.78"
