"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","2","3.64","Lincoln","6","10.91"
"","Amite","1","1.82","Madison","2","3.64"
"","Claiborne","0",".00","Pike","4","7.27"
"","Copiah","1","1.82","Rankin","10","18.18"
"Central","","","","","",""
"","Franklin","1","1.82","Sharkey","0",".00"
"Counties","","","","","",""
"","Hinds","17","30.91","Walthall","0",".00"
"","Holmes","2","3.64","Warren","3","5.45"
"","Humphreys","1","1.82","Wilkinson","0",".00"
"","Issaquena","1","1.82","Yazoo","4","7.27"
"","Jefferson","0",".00","TOTAL","55","20.91"
