"Mississippi Offenders Supervised in Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","218","","905","","1,123"
"AUG","","223","","945","","1,168"
"SEP","","223","","954","","1,177"
"OCT","","223","","951","","1,174"
"NOV","","244","","957","","1,201"
"DEC","","232","","931","","1,163"
"JAN","","262","","982","","1,244"
"FEB","","268","","1,005","","1,273"
"MAR","","265","","997","","1,262"
"APR","","271","","997","","1,268"
"MAY","","291","","1,006","","1,297"
"JUN","","303","","1,016","","1,319"
