"","TOTAL 
 
620","100.00"
"","Northern County with highest number convictions","Desoto 
27"
"","Central County with highest number convictions","Rankin 
30"
"","Southern County with highest number convictions","Harrison 
69"
"RECAP","",""
"","","Carroll, Montgomery,"
"","Northern Counties with lowest number convictions","Tishomingo, Ya-
1"
"","","lobusha"
"","","Amite, Franklin,"
"","Central Counties with lowest number convictions","1"
"","","Humphreys"
"","Southern Counties with lowest number convictions  Covington, Simpson","1"
