"COUNTY","OFFENDERS","%"
"Alcorn","29","2.57"
"Montgomery","12","1.06"
"Attala","18","1.60"
"Panola","57","5.05"
"Benton","10",".89"
"Pontotoc","43","3.81"
"Bolivar","16","1.42"
"Prentiss","37","3.28"
"Calhoun","21","1.86"
"Quitman","17","1.51"
"Carroll","4",".35"
"Sunflower","25","2.22"
"Chickasaw","63","5.58"
"Tallahatchie","14","1.24"
"Choctaw","2",".18"
"Tate","13","1.15"
"Coahoma","37","3.28"
"Tippah","28","2.48"
"Desoto","121","10.73"
"Tishomingo","6",".53"
"Grenada","44","3.90"
"Tunica","29","2.57"
"Itawamba","25","2.22"
"Union","48","4.26"
"Lafayette","40","3.55"
"Washington","38","3.37"
"Lee","149","13.21"
"Webster","5",".44"
"Leflore","42","3.72"
"Winston","8",".71"
"Marshall","69","6.12"
"Yalobusha","6",".53"
"Monroe","52","4.61"
"TOTAL","1,128","34.96"
