"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"16","1","0","0","0","1"
"17","0","1","0","0","1"
"18 - 19","9","8","0","0","17"
"20 - 29","334","334","3","0","671"
"30 - 39","352","353","4","2","711"
"40 - 49","301","337","5","2","645"
"50 - 59","101","90","0","1","192"
"60 - 69","11","15","2","1","29"
"70 - 79","2","2","0","0","4"
"80+","0","1","0","0","1"
"TOTAL","1,111","1,141","14","6","2,272"
