"","TOTAL 
 
263","","100.00"
"","Northern County with highest number convictions","Desoto","14"
"","Central County with highest number convictions","Hinds","17"
"","Southern County with highest number convictions","Harrison","30"
"","","Attala, Calhoun,",""
"","Northern County with lowest number convictions","","1"
"RECAP","","",""
"","","Monroe, Winston",""
"","","Amite, Copiah,",""
"","","Franklin, Hum-",""
"","Central County with lowest number convictions","","1"
"","","phreys, Issaquena",""
"","Southern County with lowest number convictions","Marion, Kemper,",""
"","","Newton, Noxubee,","1"
"","","Perry, Smith",""
