"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","1,418","86","1,504","14.92"
"Homicide/Manslaughter","226","28","254","2.52"
"Property","2,079","590","2,669","26.48"
"Possession of Drugs","2,229","342","2,571","25.51"
"Robbery","466","33","499","4.95"
"Sale of Drugs","1,545","257","1,802","17.88"
"Sex Offense","259","4","263","2.61"
"Violent","476","42","518","5.14"
"TOTAL","8,698","1,382","10,080","100.00"
