"FEMALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","48","106","0","0","154"
"Homicide/Manslaughter","129","66","0","0","195"
"Property","368","400","3","2","773"
"Possession of Drugs","168","336","7","2","513"
"Robbery","85","37","0","0","122"
"Sale of Drugs","228","127","2","1","358"
"Sex Offense","10","26","0","0","36"
"Violent","75","43","2","1","121"
"TOTAL","1,111","1,141","14","6","2,272"
