"FACILITY","NOV","DEC","JAN","FEB"
"Mississippi State Penitentiary","3,880","3,904","4,052","4,098"
"Central Mississippi Correctional Facility","3,726","3,687","3,498","3,569"
"South Mississippi Correctional Institution","3,110","3,124","3,133","3,122"
"County Jails","1,833","1,765","1,751","1,702"
"Community Work Centers","1,794","1,808","1,750","1,728"
"County/Regional Facilities","3,078","3,081","2,997","2,929"
"Private Prisons","5,480","5,509","5,490","5,470"
"Restitution Centers","14","12","11","12"
"Governor's Mansion","6","6","6","6"
"*E-CODE","19","8","34","30"
"TOTAL","22,940","22,904","22,722","22,666"
"ACTUAL CAPACITY","24,024","24,019","24,148","24,324"
