"COUNTY","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04"
"Adams","4","5","10","2","4","1"
"Alcorn","2","4","1","5","5","8"
"Amite","0","0","0","1","1","0"
"Attala","6","5","5","0","2","1"
"Benton","1","0","2","0","0","0"
"Bolivar","2","2","3","1","5","8"
"Calhoun","3","1","3","0","4","0"
"Carroll","0","0","2","2","3","5"
"Chickasaw","8","4","3","3","3","6"
"Choctaw","1","2","1","0","1","2"
"Clairborne","1","0","0","2","0","0"
"Clarke","0","0","0","0","1","0"
"Clay","4","7","8","13","8","6"
"Coahoma","2","2","2","0","1","3"
"Copiah","2","6","5","3","4","4"
"Covington","1","0","0","0","2","3"
"DeSoto","4","8","6","4","5","9"
"Forrest","3","8","3","5","9","6"
"Franklin","2","1","0","0","2","0"
"George","3","1","3","1","3","7"
"Greene","0","0","2","1","0","0"
"Grenada","6","2","5","2","2","3"
"Hancock","2","3","2","4","7","1"
"Harrison","11","9","13","1","23","29"
"Hinds","20","11","11","9","16","11"
"Holmes","3","3","1","0","2","2"
"Humphreys","1","0","1","0","1","0"
"Issaquena","0","0","0","0","1","0"
"Itawamba","2","2","0","0","2","1"
"Jackson","3","2","3","4","7","14"
"Jasper","3","0","0","2","0","0"
"Jefferson","2","1","0","0","1","0"
"Jeff Davis","0","0","1","0","0","1"
"Jones","11","6","6","2","8","10"
"Kemper","0","0","0","0","0","0"
"Lafayette","1","3","1","3","5","6"
"Lamar","1","4","1","1","6","4"
