"COUNTY","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04"
"Adams","23","9","18","16","33","6"
"Alcorn","37","20","21","25","46","25"
"Amite","11","12","9","9","22","28"
"Attala","4","3","3","2","2","5"
"Benton","9","3","3","1","1","1"
"Bolivar","20","20","18","15","15","27"
"Calhoun","5","5","16","4","5","2"
"Carroll","1","3","5","9","14","10"
"Chickasaw","9","17","22","28","17","36"
"Choctaw","3","2","0","2","2","1"
"Claiborne","0","0","6","11","1","1"
"Clarke","0","0","2","0","1","0"
"Clay","11","10","6","10","26","10"
"Coahoma","12","16","12","21","12","17"
"Copiah","4","11","16","18","8","17"
"Covington","4","7","6","0","1","7"
"DeSoto","23","33","21","26","27","16"
"Forrest","36","41","31","48","56","24"
"Franklin","13","6","6","0","7","0"
"George","17","13","14","28","19","30"
"Greene","3","7","6","0","6","0"
"Grenada","8","5","6","1","0","7"
"Hancock","12","19","22","26","14","5"
"Harrison","98","89","52","27","68","87"
"Hinds","32","41","16","24","50","56"
"Holmes","8","20","8","25","16","13"
"Humphreys","8","0","5","5","3","2"
"Issaquena","0","0","0","1","0","0"
"Itawamba","11","12","6","1","1","1"
"Jackson","35","31","23","14","38","39"
"Jasper","12","2","6","5","5","4"
"Jefferson","1","1","9","0","1","2"
"Jeff Davis","0","9","6","0","0","0"
"Jones","75","73","57","66","86","55"
"Kemper","0","0","2","0","1","2"
"Lafayette","34","24","28","40","13","18"
"Lamar","17","18","12","5","5","5"
