"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Burglary","1,766","1,019","14","8","2,807"
"Homicide/Manslaughter","1,779","592","15","8","2,394"
"Property","1,735","1,403","37","20","3,195"
"Possession of Drugs","2,292","1,278","61","13","3,644"
"Robbery","2,422","382","9","6","2,819"
"Sale of Drugs","3,026","399","16","4","3,445"
"Sex Offense","1,253","1,086","27","8","2,374"
"Violent","1,184","423","11","4","1,622"
"TOTAL","15,457","6,582","190","71","22,300"
