"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","1,289","72","1,361","15.42"
"Homicide/Manslaughter","192","23","215","2.44"
"Property","2,064","477","2,541","28.80"
"Possession of Drugs","1,866","295","2,161","24.49"
"Robbery","479","29","508","5.75"
"Sale of Drugs","954","112","1,066","12.08"
"Sex Offense","424","4","428","4.85"
"Violent","500","44","544","6.17"
"TOTAL","7,768","1,056","8,824","100.00"
