"COUNTY","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04"
"Lauderdale","6","2","7","5","13","22"
"Lawrence","2","0","0","0","2","0"
"Leake","8","5","4","2","9","5"
"Lee","10","4","9","10","18","7"
"Leflore","5","3","0","1","3","5"
"Lincoln","1","0","0","3","2","3"
"Lowndes","31","15","14","10","15","17"
"Madison","8","4","6","1","8","7"
"Marion","3","5","2","1","10","7"
"Marshall","4","0","2","1","4","1"
"Monroe","3","9","8","11","11","8"
"Montgomery","2","0","0","1","2","0"
"Neshoba","8","8","3","8","8","17"
"Newton","11","3","3","2","7","8"
"Noxubee","0","4","3","0","3","0"
"Oktibbeha","11","6","4","9","7","15"
"Panola","7","3","2","3","4","11"
"Pearl River","3","0","0","1","7","5"
"Perry","0","0","0","0","0","0"
"Pike","2","0","2","2","7","9"
"Pontotoc","6","3","6","12","8","7"
"Prentiss","3","0","4","1","4","3"
"Quitman","0","0","0","0","1","1"
"Rankin","12","8","8","12","15","27"
"Scott","5","7","4","1","10","9"
"Sharkey","0","0","0","0","1","0"
"Simpson","2","2","0","0","3","1"
"Smith","1","0","1","2","3","3"
"Stone","0","0","1","0","3","0"
"Sunflower","3","2","2","3","8","2"
"Tallahatchie","4","3","6","3","2","2"
"Tate","3","1","2","0","1","1"
"Tippah","2","0","2","0","3","3"
"Tishomingo","1","1","1","0","1","3"
"Tunica","1","1","0","0","0","0"
"Union","3","2","4","5","6","6"
"Walthall","1","1","0","0","1","1"
