"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","11","22","0","0","33","1.45"
"1 - 2 Years","167","186","1","1","355","15.63"
"3 - 5 Years","272","308","3","1","584","25.70"
"6 - 10 Years","289","284","3","1","577","25.40"
"11 - 20 Years","200","120","3","1","324","14.26"
"21 -30 Years","26","17","1","1","45","1.98"
"Greater Than 30 Years","11","7","0","0","18",".79"
"Life","50","35","0","0","85","3.74"
"Death","0","3","0","0","3",".13"
"Verification Pending","85","159","3","1","248","10.92"
"TOTAL","1,111","1,141","14","6","2,272","100.00"
