"","","","Sex Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","2","1.53","Montgomery","2","1.53"
"","Attala","2","1.53","Panola","5","3.82"
"","Benton","1",".76","Pontotoc","5","3.82"
"","Bolivar","3","2.29","Prentiss","6","4.58"
"","Calhoun","3","2.29","Quitman","1",".76"
"","Carroll","0",".00","Sunflower","2","1.53"
"","Chickasaw","3","2.29","Tallahatchie","0",".00"
"Northern","Choctaw","3","2.29","Tate","1",".76"
"Counties","","","","","",""
"","Coahoma","5","3.82","Tippah","3","2.29"
"","Desoto","21","16.03","Tishomingo","3","2.29"
"","Grenada","3","2.29","Tunica","1",".76"
"","Itawamba","3","2.29","Union","6","4.58"
"","Lafayette","10","7.63","Washington","7","5.34"
"","Lee","15","11.45","Webster","1",".76"
"","Leflore","4","3.05","Winston","0",".00"
"","Marshall","3","2.29","Yalobusha","2","1.53"
"","Monroe","5","3.82","TOTAL","131","30.61"
