"JUN '03","JUN '02","JUN '01","JUN '00","JUN '99","TOTAL"
"1","0","5","0","7","39"
"5","11","12","9","0","62"
"2","0","7","0","0","11"
"3","4","3","8","8","45"
"0","0","1","3","1","8"
"7","8","10","10","10","66"
"3","13","6","10","7","50"
"2","4","5","0","0","23"
"6","5","5","9","4","56"
"1","0","2","2","5","17"
"1","6","2","1","0","13"
"0","1","2","2","0","6"
"5","1","4","14","5","75"
"3","14","5","15","8","55"
"11","5","11","9","8","68"
"1","2","2","0","0","11"
"17","14","13","15","15","110"
"12","9","22","18","12","107"
"1","0","0","0","0","6"
"10","2","2","0","0","32"
"0","0","2","1","0","6"
"1","2","8","2","5","38"
"2","7","8","5","0","41"
"28","27","56","26","22","245"
"21","16","30","28","35","208"
"3","3","5","9","10","41"
"1","4","4","2","2","16"
"1","1","0","0","0","3"
"1","0","3","1","1","13"
"11","7","14","6","5","76"
"1","0","0","2","0","8"
"1","3","4","0","0","12"
"0","0","0","0","0","2"
"11","8","10","23","9","104"
"1","2","3","0","0","6"
"4","10","8","5","5","51"
"0","2","2","0","0","21"
