"OFFENSE 
AVERAGE AGE AT TIME OF OFFENSE","",""
"Capital Rape","44.72",""
"Child Molestation","35.72",""
"Child Pornography","48.60",""
"Computer Luring of Child for Sexual Conduct","35.07",""
"Entice Child for Indecent Purpose","49.86",""
"Exploitation of Child","34.92",""
"Failure to Register as Sex Offender","38.81",""
"Fondling","30.18",""
"Fondling a Child","44.16",""
"Gratification of Lust","33.72",""
"Peeping Tom","20.75",""
"Rape","32.39",""
"Rape with a Weapon","37.12",""
"Sex Assault","34.53",""
"Sex Offense","27.47",""
"Sexual Battery","32.59",""
"Statutory Rape","26.83",""
"Unlawful Touching of Child","39.18",""
"Violation of Sex Offender Registry Law","30.95",""
