"COUNTY","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04"
"Warren","2","3","2","7","11","10"
"Washington","9","1","1","2","8","4"
"Wayne","2","2","3","0","3","6"
"Webster","3","1","6","7","3","9"
"Wilkinson","1","0","0","0","0","0"
"Winston","4","0","3","2","5","2"
"Yalobusha","1","1","2","0","3","7"
"Yazoo","3","2","3","3","3","4"
"TOTALS","312","214","234","202","390","409"
