"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I - CASELOAD","5,946","1,566","654","70"
"94 Field Officers (22 ISP)","","","",""
"","","","",""
"REGION II - CASELOAD","5,168","873","406","264"
"61 Field Officers (13 ISP)","","","",""
"","","","",""
"REGION III - CASELOAD","6,236","1,196","675","434"
"99 Field Officers (51 ISP)","","","",""
