"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"544 
  
76 
  
620","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","225","34","","259","41.77"
"Black","317","41","","358","57.74"
"Hispanic","2","0","","2",".32"
"Other","0","1","","1",".16"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"50 - 59","478","72","","550","88.71"
"60 - 69","57","4","","61","9.84"
"70—79","8","0","","8","1.29"
"Over 80","1","0","","1",".16"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","34","2","","36","5.81"
"Homicide/Manslaughter","21","1","","22","3.55"
"Property","197","42","","239","38.55"
"Drug Possession","128","13","","141","22.74"
"Robbery","8","0","","8","1.29"
"Sale of Drugs","68","15","","83","13.39"
"Sex Offense","46","0","","46","7.42"
"Violent","42","3","","45","7.26"
