"JUN '03","JUN '02","JUN '01","JUN '00","JUN '99","TOTAL"
"11","20","33","54","41","214"
"0","0","0","0","0","4"
"6","10","0","0","0","49"
"13","10","23","10","6","120"
"4","5","6","4","2","38"
"6","4","12","10","8","49"
"12","14","20","21","19","188"
"6","2","2","2","5","51"
"5","6","1","1","0","41"
"3","6","12","17","6","56"
"9","4","10","11","11","95"
"5","3","5","3","4","25"
"10","9","0","0","0","71"
"5","5","5","0","0","49"
"0","3","1","0","1","15"
"2","5","6","9","6","80"
"15","7","17","7","6","82"
"8","9","7","0","0","40"
"0","0","0","0","0","0"
"3","1","10","17","8","61"
"7","9","9","7","2","76"
"7","7","7","2","3","41"
"0","1","5","4","6","18"
"21","19","24","23","4","173"
"5","4","4","0","0","49"
"2","1","1","1","0","6"
"6","5","3","0","0","22"
"1","1","2","1","0","15"
"1","3","2","0","2","12"
"2","3","8","11","9","53"
"1","3","6","0","0","30"
"7","2","4","2","3","26"
"3","2","4","8","9","36"
"0","1","0","1","0","9"
"0","0","4","3","6","15"
"4","6","8","8","4","56"
"0","4","3","3","0","15"
