"JUN '03","JUN '02","JUN '01","JUN '00","JUN '99","TOTAL"
"19","19","30","17","23","213"
"25","24","11","0","0","234"
"12","11","11","0","0","125"
"11","9","6","5","7","57"
"3","6","1","2","0","30"
"31","43","32","35","22","278"
"9","20","14","9","11","100"
"3","2","0","1","2","50"
"18","17","20","16","15","215"
"5","5","3","6","6","35"
"4","5","8","4","0","40"
"1","1","5","6","1","17"
"12","10","17","15","19","146"
"12","6","6","7","12","133"
"12","19","26","21","7","159"
"4","3","0","0","0","32"
"15","17","14","31","33","256"
"36","54","44","37","47","454"
"14","5","5","0","0","56"
"29","28","7","1","0","186"
"7","7","4","0","0","40"
"8","5","9","10","18","77"
"11","10","22","3","1","145"
"74","93","85","81","42","796"
"48","53","67","68","53","508"
"24","26","23","7","11","181"
"18","20","14","14","17","106"
"0","0","2","1","0","4"
"2","0","1","2","1","38"
"61","81","22","15","8","367"
"0","1","0","0","0","35"
"0","2","2","2","0","20"
"0","0","0","0","0","15"
"48","63","71","48","92","734"
"0","4","0","0","0","9"
"16","16","26","24","17","256"
"14","11","3","0","0","90"
