"COUNTY","OFFENDERS","%"
"Alcorn","2","2.35"
"Montgomery","0",".00"
"Attala","1","1.18"
"Panola","0",".00"
"Benton","0",".00"
"Pontotoc","2","2.35"
"Bolivar","3","3.53"
"Prentiss","3","3.53"
"Calhoun","1","1.18"
"Quitman","2","2.35"
"Carroll","0",".00"
"Sunflower","4","4.71"
"Chickasaw","3","3.53"
"Tallahatchie","2","2.35"
"Choctaw","2","2.35"
"Tate","2","2.35"
"Coahoma","2","2.35"
"Tippah","0",".00"
"Desoto","14","16.47"
"Tishomingo","0",".00"
"Grenada","2","2.35"
"Tunica","0",".00"
"Itawamba","4","4.71"
"Union","2","2.35"
"Lafayette","4","4.71"
"Washington","8","9.41"
"Lee","11","12.94"
"Webster","0",".00"
"Leflore","4","4.71"
"Winston","1","1.18"
"Marshall","5","5.88"
"Yalobusha","0",".00"
"Monroe","1","1.18"
"TOTAL","85","32.32"
