"JUN '03","JUN '02","JUN '01","JUN '00","JUN '99","TOTAL"
"18","20","23","16","20","190"
"0","0","0","0","0","15"
"13","6","0","0","0","46"
"35","46","27","31","40","442"
"40","32","20","19","28","304"
"26","33","32","30","33","266"
"34","62","47","36","48","416"
"2","6","7","9","8","151"
"14","10","0","0","0","209"
"20","19","18","21","13","256"
"22","11","4","6","14","185"
"15","9","3","9","10","63"
"16","8","0","0","0","63"
"19","3","0","1","0","57"
"7","2","6","2","1","38"
"28","21","6","12","6","218"
"6","20","13","10","7","155"
"32","11","10","0","0","267"
"0","0","0","4","7","12"
"47","44","41","27","37","470"
"7","10","12","5","6","152"
"15","15","22","12","22","225"
"3","2","6","1","2","31"
"36","31","33","41","27","418"
"8","4","0","0","0","33"
"0","5","1","5","1","15"
"4","3","4","0","0","46"
"3","11","0","0","0","87"
"2","7","9","3","2","32"
"23","48","30","53","57","379"
"1","6","0","4","3","36"
"3","5","2","6","5","37"
"6","9","15","5","7","87"
"5","6","5","4","4","75"
"6","4","5","7","0","33"
"16","18","9","15","16","187"
"2","10","8","6","2","53"
